Question,Answer
What is AI?,AI stands for Artificial Intelligence.
What is Python?,Python is a programming language.
What is Machine Learning?,Machine Learning helps computers learn from data.
What is Streamlit?,Streamlit is a Python framework for web applications.
What is NLP?,NLP stands for Natural Language Processing.
What is Data Science?,Data Science extracts insights from data.
What is Deep Learning?,Deep Learning is a subset of Machine Learning.
What is SQL?,SQL is used to manage databases.
What is Database?,A database stores data in an organized way.
What is ChatGPT?,ChatGPT is an AI chatbot.
What is OpenAI?,OpenAI develops AI technologies.
